Device IP Address,Device Name,Device MAC Address,Device Network Adapter Company,Device User First Name,Device User Last Name,Device Status,Company Name,Device Use Department,Device Port Number,Device Multiple Packet,Device Index,Device Type,Device Location,Device Brand,Device Operating System,Device Cost Of Purchase,Device User Email Address,Device User Phone Number,Device User Job Resumption Date,Device Condition,Device Year Of Purchase
12.12.12.12,John's Device,1C-1B-0D-8E-34-57,,Chukwuma,Ubah,Good,,,,,,Desktop,Aba,HP,Windows 10,,john@gmail.com,,,,2020
21.21.21.21,Mary's Device,50-65-F3-48-88-68,,Patrick,Ofoegbuliwe,Good,,,,,,Desktop,Aba,HP,Windows 10,,mary@gmail.com,,,,2021
32.32.32.32,Ivy's Device,A0-D3-C1-1B-AD-5A,,festus,muekara,Good,,,,,,Desktop,Aba,Hp,Windows 10,,ivy@gmail.com,,,,2023
43.43.43.43,Frank's Device,60-18-95-45-64-26,,Eucharia,Patrick,Good,,,,,,Laptop,Aba,Dell,Windows 10,,frank@gmail.com,,,,2019
43.21.21.21,CEO's Device,8C-DC-D4-54-F8-35,,Chibueze,Nwaokocha,Good,,,,,,Desktop,Aba,HP,Windows 10,,ceo@gmail.com,,,,2018
54.54.54.54,Iyke's Device,A0-D3-C1-1D-EB-8F,,Emmanuel,Ugochukwu,Good,,,,,,Desktop,Aba ,HP,Windows 10,,iyke@gmail.com,,,,2020
21.32.12.43,Justina's Device,4C-72-B9-2E-90-80,,Justice,Onwuka,Good,,,,,,Desktop,Aba,Hp,Windows 10,,justina@gmail.com,,,,2021
76.12.12.12,Loreta's Device,18-60-24-9E-9B-8D,,Nelson,Ukodei,Good,,,,,,Desktop,Aba,HP,Windows 10,,loreta@gmail.com,,,,2023
32.43.23.43,Abigail's Device,A0-D3-C1-1D-E9-61,,Benjamin,Oghenakpobor,Good,,,,,,Desktop,Aba,HP,Windows 10,,abigail@gmail.com,,,,2020
09.54.23.12,Samuel's Device,A0-48-1C-A9-4D-EA,,Sunday,Uvietobore,Good,,,,,,Desktop,Aba,HP,Windows 10,,samuel@gmail.com,,,,2021
